SiteName,SiteEngName,AreaName,County,Township,SiteAddress,TWD97Lon,TWD97Lat,SiteType
林口,Linkou,北部空品區,新北市,林口區,新北市林口區文化北路1段425號,121.3657030000,25.0785700000,一般測站
忠明,Zhongming,中部空品區,臺中市,南屯區,臺中市南屯區公益路2段296號,120.6410920000,24.1519580000,一般測站
宜蘭,Yilan,宜蘭空品區,宜蘭縣,宜蘭市,宜蘭縣宜蘭市復興路二段77號,121.7463940000,24.7479170000,一般測站
沙鹿,Shalu,中部空品區,臺中市,沙鹿區,臺中市沙鹿區英才路150號,120.5687940000,24.2256280000,一般測站
西屯,Xitun,中部空品區,臺中市,西屯區,臺中市西屯區安和路1號,120.6169170000,24.1621970000,一般測站
竹東,Zhudong,竹苗空品區,新竹縣,竹東鎮,新竹縣竹東鎮榮樂里三民街70號,121.0889030000,24.7406440000,一般測站
竹山,Zhushan,中部空品區,南投縣,竹山鎮,南投縣竹山鎮大明路666號,120.6773060000,23.7563890000,一般測站
汐止,Xizhi,北部空品區,新北市,汐止區,新北市汐止區樟樹一路137巷26號,121.6408000000,25.0656690000,一般測站
朴子,Puzi,雲嘉南空品區,嘉義縣,朴子市,嘉義縣朴子市光復路34號,120.2473500000,23.4653080000,一般測站
安南,Annan,雲嘉南空品區,臺南市,安南區,臺南市安南區安和路3段193號,120.2183330000,23.0483330000,一般測站
永和,Yonghe,北部空品區,新北市,永和區,新北市永和區永和路與光復路交口,121.5163060000,25.0170000000,交通測站
平鎮,Pingzhen,北部空品區,桃園市,平鎮區,桃園市平鎮區復興街55號,121.2049810000,24.9542080000,一般測站
左營,Zuoying,高屏空品區,高雄市,左營區,高雄市左營區翠華路687號,120.2929170000,22.6748610000,一般測站
古亭,Guting,北部空品區,臺北市,大安區,臺北市大安區羅斯福路3段201號,121.5295560000,25.0206080000,一般測站
冬山,Dongshan,宜蘭空品區,宜蘭縣,冬山鄉,宜蘭縣冬山鄉照安路26號,121.7929280000,24.6322030000,一般測站
斗六,Douliu,雲嘉南空品區,雲林縣,斗六市,雲林縣斗六市民生路224號,120.5449940000,23.7118530000,一般測站
仁武,Renwu,高屏空品區,高雄市,仁武區,高雄市仁武區永仁街555號,120.3326310000,22.6890560000,一般測站
中壢,Zhongli,北部空品區,桃園市,中壢區,桃園市中壢區延平路622號,121.2216670000,24.9532780000,交通測站
中山,Zhongshan,北部空品區,臺北市,中山區,臺北市中山區林森北路511號,121.5265280000,25.0623610000,一般測站
小港,Xiaogang,高屏空品區,高雄市,小港區,高雄市小港區平和南路185號,120.3377360000,22.5658330000,一般測站
大寮,Daliao,高屏空品區,高雄市,大寮區,高雄市大寮區潮寮路61號,120.4253110000,22.5641360000,一般測站
大園,Dayuan,北部空品區,桃園市,大園區,桃園市大園區中正東路160號,121.2018110000,25.0603440000,一般測站
大里,Dali,中部空品區,臺中市,大里區,臺中市大里區大新街36號,120.6776890000,24.0996110000,一般測站
大同,Datong,北部空品區,臺北市,大同區,臺北市大同區重慶北路3段2號,121.5133110000,25.0632000000,交通測站
士林,Shilin,北部空品區,臺北市,北投區,臺北市北投區文林北路155號,121.5145000000,25.1059170000,一般測站
土城,Tucheng,北部空品區,新北市,土城區,新北市土城區學府路1段241號,121.4518610000,24.9825280000,一般測站
三義,Sanyi,竹苗空品區,苗栗縣,三義鄉,苗栗縣三義鄉西湖村上湖61-1號,120.7588330000,24.3829420000,一般測站
三重,Sanchong,北部空品區,新北市,三重區,新北市三重區三和路與重陽路交口,121.4938060000,25.0726110000,交通測站
二林,Erlin,中部空品區,彰化縣,二林鎮,彰化縣二林鎮江山巷1號,120.4096530000,23.9251750000,一般測站
