調查日期,鄉鎮市區,村里,調查地區分類,布氏指數,布氏級數,成蟲指數(埃及斑蚊),成蟲指數(白線斑蚊),住宅指數,住宅級數,容器級數,Latitude,Longitude,color
2015/8/5,東　區,大同里,住宅,6,2,0,0,4,2,6,22.9839645,120.2130451,darkgreen
2015/8/5,東　區,大德里,住宅,4,1,0,0,2,1,5,22.9778817,120.2148485,darkgreen
2015/8/5,東　區,崇文里,住宅,2,1,0,0,2,1,4,22.9677389,120.2296358,darkgreen
2015/8/5,永康區,永康里,住宅,14,3,0,0,10,3,6,23.0234285,120.2584844,darkpurple
2015/8/6,永康區,安康里,住宅,8,2,0,0,8,3,9,23.0158435,120.227472,darkgreen
2015/8/6,永康區,西灣里,住宅,8,2,0,0,8,3,4,23.0120871,120.2613689,darkgreen
2015/8/6,安平區,平安里,住宅,9,2,0,0,9,3,4,22.9991307,120.1726415,darkgreen
2015/8/6,安平區,金城里,住宅,2,1,0,0,2,1,4,22.9953785,120.1488264,darkgreen
2015/8/6,安南區,溪頂里,住宅,5,2,0,0,3,1,5,23.0254471,120.2072739,darkgreen
2015/8/6,安南區,安和里,住宅,10,3,0,0,6,2,9,23.0310818,120.218816,darkpurple
2015/8/6,北　區,正覺里,住宅,3,1,0,0,2,1,3,23.0151428,120.2116023,darkgreen
2015/8/6,中西區,西賢里,住宅,6,2,0,0,6,2,4,23.0039814,120.1719199,darkgreen
2015/8/6,中西區,天后里,住宅,8,2,0,0,4,2,4,22.9975318,120.2011417,darkgreen
2015/8/6,南　區,喜北里,住宅,4,1,0,0,4,2,4,22.9490628,120.1776926,darkgreen
2015/8/6,南　區,開南里,住宅,6,2,0,0,6,2,4,22.9668748,120.1856297,darkgreen
2015/8/6,東　區,路東里,住宅,10,3,0,0,6,2,9,22.9801973,120.2134058,darkpurple
2015/8/6,東　區,路東里,住宅,6,2,0,0,2,1,6,22.9801973,120.2134058,darkgreen
2015/8/7,南　區,鯤鯓里,住宅,8,2,0,0,6,2,5,22.9566809,120.1733631,darkgreen
2015/8/7,南　區,開南里,住宅,12,3,0,0,12,3,5,22.9668748,120.1856297,darkpurple
