id,city,basin,riverName,siteName,date,RPI,WT,PH,EC,NH3N,Ch,Temperature,SS,DO,COD,DOS,BOD,CG
32,新北市,淡水河流域,淡水河本流,淡水河口,2015/04/11,2.8,21.5,7.8,37800,1.69,13900,17.3,19.8,4.5999999999999996,12.3,58.6,1.1000000000000001,2300
33,新北市,淡水河流域,淡水河本流,關渡大橋,2015/04/11,5,21.1,7.1,15400,3.58,4940,17.100000000000001,22.5,2.4,16.8,27.9,2.2000000000000002,5800
34,新北市,磺溪流域,磺溪,上磺溪橋,2015/04/09,1,16.8,2.8,1050,0.07,-,15,2.2000000000000002,9.4,5.5,100.9,<1.0,<10
35,新北市,磺溪流域,磺溪,四十號橋,2015/04/09,1,18.100000000000001,3.9,273,0.05,-,18,4.0999999999999996,9.1999999999999993,<4.0,97.8,<1.0,65
36,新北市,磺溪流域,磺溪,磺溪橋,2015/04/09,1,18,3.9,274,0.05,-,17.399999999999999,3.1,9.4,5,99.1,<1.0,50
37,新北市,雙溪流域,雙溪,新寮大橋,2015/04/11,1,17.600000000000001,7.5,92,0.12,-,17.899999999999999,6.3,9.4,5.8,98.7,<1.0,9300
38,新北市,雙溪流域,雙溪,貢寮大橋,2015/04/11,1,18,7.4,110,0.01,-,17.5,3.1,9,6.8,95.2,<1.0,2700
39,臺中市,大安溪流域,大安溪,大安溪橋,2015/04/02,-,-,-,-,-,-,-,-,-,-,-,-,-
40,臺中市,大安溪流域,大安溪,西濱快速道路(取代大安溪出海口),2015/04/02,1,28.6,8,711,0.08,10.199999999999999,29.1,5.6,7.7,4.3,99.8,1.1000000000000001,220
41,臺中市,大甲溪流域,大甲溪,后豐大橋,2015/04/01,1,26.1,8.6,277,0.07,-,29.2,5.5,9.3000000000000007,<4.0,118.6,1.2,45
42,臺中市,大甲溪流域,大甲溪,大甲溪橋,2015/04/01,1,28.9,8.6999999999999993,412,0.09,17.8,27.1,12.2,9,7.8,118.1,2,570
43,臺中市,大甲溪流域,大甲溪,朴子口,2015/04/01,1.5,25.1,8.5,261,0.07,-,30.1,23.7,9.6,6.3,120.2,1.4,6700
44,臺中市,大甲溪流域,大甲溪,東勢大橋(原名東豐大橋),2015/04/01,1,25.4,8.6999999999999993,262,0.07,-,29.2,5.6,8.9,4.3,113.2,1.2,130
45,臺中市,大甲溪流域,大甲溪,松鶴橋(原為長青橋),2015/04/01,1,21.9,8.4,231,0.05,-,27.3,3.6,9.5,<4.0,117,1,200
46,臺中市,大甲溪流域,大甲溪,迎賓橋,2015/04/01,1,12.1,8.3000000000000007,224,0.05,-,12,<1.0,9,<4.0,103,<1.0,140
47,臺中市,大甲溪流域,大甲溪,長庚橋(取代石岡壩),2015/04/01,1,25,8.6999999999999993,262,0.06,-,28.2,6.8,8.6,<4.0,108.2,1.2,40
48,臺中市,大甲溪流域,大甲溪,高速公路橋,2015/04/01,1,29.2,8.9,335,0.14000000000000001,-,28.6,2.2999999999999998,8.3000000000000007,8.4,110.8,2.2999999999999998,450
49,臺中市,大甲溪流域,大甲溪,龍安橋,2015/04/01,1,24.4,8.6,268,0.06,-,28.5,3.3,9.1999999999999993,5.3,115.7,1.5,15
50,臺中市,烏溪流域,旱溪,國光橋,2015/04/07,3.3,25.8,7.5,392,2.12,-,26.8,15.9,5.9,15.8,72.3,4.3,46000
51,臺中市,烏溪流域,烏溪,倡和橋,2015/04/07,1.5,25,8.1999999999999993,334,0.19,-,25,13.8,9,14.8,110,3.3,40000
52,臺中市,烏溪流域,烏溪,大度橋(原為大肚橋),2015/04/07,6.5,28.8,7.9,497,4.62,-,29,109,5.9,19,76.2,4.2,88000
53,臺中市,烏溪流域,烏溪,大里橋,2015/04/07,6.5,27.6,7.4,565,5.93,-,26.2,34.200000000000003,5.6,74.099999999999994,71.400000000000006,22.8,3700000
54,臺中市,烏溪流域,烏溪,東海橋,2015/04/07,1,26.7,8,335,0.13,-,26.3,7.6,10.199999999999999,7.8,128.1,2.2999999999999998,1300
55,臺中市,烏溪流域,烏溪,樹王橋,2015/04/07,5,27.3,7.7,437,5.84,-,27.6,17.7,5.9,26.3,74.8,7,260000
56,臺中市,烏溪流域,烏溪,溪南橋,2015/04/07,5,29.6,7.6,553,2.76,-,29,231,6.7,21,88.5,4.7,49000
57,臺中市,烏溪流域,烏溪,烏溪橋,2015/04/07,1.5,31.3,8.6,459,0.1,-,28.7,17.7,8.4,15,114.8,4.5999999999999996,1600
58,臺中市,烏溪流域,烏溪,逢甲橋,2015/04/07,1,28.9,8.1,515,0.13,-,25.5,7.1,6.6,10.5,87.6,2.7,13000
59,臺中市,烏溪流域,烏溪,集泉橋,2015/04/07,1.5,26.8,7.9,437,0.4,-,26.5,16.8,7.4,14.3,92.7,3.1,9300
60,臺南市,二仁溪流域,二仁溪,二層行橋,2015/04/01,3.3,29,8,40500,2.48,14700,30.6,29.5,9,14.3,135.9,3.7,110
61,臺南市,二仁溪流域,二仁溪,五空橋,2015/04/01,6.8,28,7.6,1810,23.8,-,30.5,19.399999999999999,1.8,57.4,23.6,11.8,3000000
62,臺南市,二仁溪流域,二仁溪,南萣橋,2015/04/01,3.3,27,8.1,45900,1.92,17600,27,25.4,7.2,14,108.3,4.5,4800
63,臺南市,二仁溪流域,二仁溪,永寧橋,2015/04/01,5.8,29.6,7.8,6900,19.100000000000001,1930,30,7,2.2000000000000002,48.2,29.7,9,200000
64,臺南市,二仁溪流域,二仁溪,網寮橋(原為建國村),2015/04/01,7.3,31.1,7.9,946,28.6,-,34.5,25.8,3.8,74.2,51,26.1,4300000
65,臺南市,八掌溪流域,八掌溪,厚生橋,2015/04/02,5.8,28.8,8.3000000000000007,1010,5.27,-,30.2,82.5,10,33.700000000000003,130.1,6.5,600
66,臺南市,八掌溪流域,八掌溪,嘉南大橋,2015/04/02,4,29,8.6,24200,0.87,8300,29.9,82.2,15.1,30.5,211,9.3000000000000007,300
67,臺南市,急水溪流域,急水溪,二港橋,2015/04/02,7.3,27.1,7.8,23900,5.59,8250,29.8,27.4,1.2,31.5,16.8,5,6400
68,臺南市,急水溪流域,急水溪,五王大橋(原為南鯤鯓),2015/04/02,5.8,28.7,7.6,37100,3.14,13000,29,50.4,3.1,14.8,45.8,1.6,210
69,臺南市,急水溪流域,急水溪,台19甲急水溪橋,2015/04/02,10,29.6,7.4,1250,9.73,-,30.9,109,0.2,235,2.2000000000000002,24.7,390000
70,臺南市,急水溪流域,急水溪,台1線急水溪橋,2015/04/02,5,29.7,8,793,3.59,-,32.200000000000003,31.9,10.8,31.2,143.4,8.4,2300
71,臺南市,急水溪流域,急水溪,宅港橋,2015/04/02,7.3,27.7,7.7,18000,6.3,5950,30.1,26.4,1.6,40,21.2,8,30000
72,臺南市,急水溪流域,急水溪,甘宅二號橋(原為木屐寮),2015/04/02,-,-,-,-,-,-,-,-,-,-,-,-,-
73,臺南市,急水溪流域,急水溪,青葉橋,2015/04/02,-,-,-,-,-,-,-,-,-,-,-,-,-
74,臺南市,曾文溪流域,曾文溪,二溪大橋,2015/04/07,1,30.9,8.4,676,0.03,-,33,18.5,7.8,10.8,105.6,<1.0,10
75,臺南市,曾文溪流域,曾文溪,國姓橋(原為國聖橋),2015/04/07,2.8,27.6,8.6,40200,0.06,15200,27.5,40.6,12.4,20.8,182,11.9,10
76,臺南市,曾文溪流域,曾文溪,大內橋（取代北勢洲橋）,2015/04/07,3.5,28.8,8.6999999999999993,733,0.02,-,29,50.6,12.6,30.5,163.5,7.7,630
77,臺南市,曾文溪流域,曾文溪,曾文一橋(原為曾文一號橋),2015/04/07,3.3,29.7,8.1999999999999993,503,0.04,-,28.2,288,6.9,20,91.9,2.2000000000000002,350
78,臺南市,曾文溪流域,曾文溪,曾文溪橋,2015/04/07,5,30.2,8.3000000000000007,2260,3.74,-,31.8,34.9,11,26.9,145.1,6.2,690
79,臺南市,曾文溪流域,曾文溪,曾文溪河口,2015/04/07,2,26.2,8.1,49700,0.1,18700,29.2,33.6,5.9,7.9,87.6,<1.0,10
80,臺南市,曾文溪流域,曾文溪,玉井橋,2015/04/07,1,29.3,8,609,0.03,-,31.6,18,8,7.8,104.7,<1.0,100
81,臺南市,曾文溪流域,曾文溪,玉峰大橋,2015/04/07,1.5,30,8.1,1280,0.05,-,30.5,44.7,7.9,12,104.6,1.3,<10
82,臺南市,曾文溪流域,曾文溪,西港大橋,2015/04/07,1.5,27.5,8.1999999999999993,33900,0.09,12900,26.8,31.4,9.4,11.4,134.19999999999999,1.9,510
