案類,發生日期,發生地點
住宅竊盜,1040109,新竹縣橫山鄉
住宅竊盜,1040109,新北市新莊區
住宅竊盜,1040109,新北市板橋區
住宅竊盜,1040109,雲林縣麥寮鄉
住宅竊盜,1040109,台北市內湖區
住宅竊盜,1040109,基隆市中正區
住宅竊盜,1040109,台中市潭子區
住宅竊盜,1040109,新竹縣竹北市
住宅竊盜,1040109,南投縣南投市
住宅竊盜,1040110,台南市玉井區
住宅竊盜,1040110,花蓮縣花蓮市
住宅竊盜,1040110,新北市深坑區
住宅竊盜,1040110,新北市新店區
住宅竊盜,1040110,雲林縣西螺鎮
住宅竊盜,1040110,台北市信義區
住宅竊盜,1040110,桃園市觀音區
住宅竊盜,1040110,台南市安平區
住宅竊盜,1040110,台中市北屯區
住宅竊盜,1040111,苗栗縣苑裡鎮
住宅竊盜,1040111,宜蘭縣三星鄉
住宅竊盜,1040111,新北市瑞芳區
住宅竊盜,1040111,新北市板橋區
住宅竊盜,1040111,桃園市龜山區
住宅竊盜,1040111,屏東縣屏東市
住宅竊盜,1040111,台南市中西區
住宅竊盜,1040111,台北市萬華區
住宅竊盜,1040111,台南市安平區
住宅竊盜,1040111,台南市玉井區
住宅竊盜,1040112,台中市神岡區
住宅竊盜,1040112,台南市後壁區
住宅竊盜,1040112,桃園市中壢區
住宅竊盜,1040112,新北市貢寮區
住宅竊盜,1040112,新北市新莊區
住宅竊盜,1040112,台北市大安區
住宅竊盜,1040112,雲林縣崙背鄉
住宅竊盜,1040112,新北市樹林區
住宅竊盜,1040112,台北市松山區
住宅竊盜,1040112,台北市松山區
住宅竊盜,1040112,金門縣金城鎮
住宅竊盜,1040113,台南市龍崎區
住宅竊盜,1040113,台北市萬華區
住宅竊盜,1040113,雲林縣古坑鄉
住宅竊盜,1040113,新北市板橋區
住宅竊盜,1040113,台東縣成功鎮
住宅竊盜,1040113,新北市板橋區
住宅竊盜,1040113,台南市歸仁區
住宅竊盜,1040114,雲林縣四湖鄉
住宅竊盜,1040114,雲林縣斗南鎮
住宅竊盜,1040114,新北市土城區
住宅竊盜,1040114,台北市松山區
住宅竊盜,1040114,宜蘭縣三星鄉
住宅竊盜,1040114,台中市烏日區
住宅竊盜,1040114,新竹縣竹北市
住宅竊盜,1040114,新北市中和區
住宅竊盜,1040114,台南市南區
住宅竊盜,1040114,台北市萬華區
住宅竊盜,1040114,雲林縣台西鄉
住宅竊盜,1040114,新北市貢寮區
住宅竊盜,1040114,台南市善化區
住宅竊盜,1040114,雲林縣褒忠鄉
住宅竊盜,1040115,澎湖縣馬公市
住宅竊盜,1040115,南投縣仁愛鄉
住宅竊盜,1040115,雲林縣二崙鄉
住宅竊盜,1040115,雲林縣二崙鄉
住宅竊盜,1040115,台南市中西區
住宅竊盜,1040115,新竹市北區
住宅竊盜,1040115,台北市松山區
住宅竊盜,1040115,新北市三峽區
住宅竊盜,1040115,基隆市安樂區
住宅竊盜,1040115,台北市南港區
住宅竊盜,1040115,新北市林口區
住宅竊盜,1040115,基隆市仁愛區
住宅竊盜,1040115,基隆市仁愛區
住宅竊盜,1040115,新北市三重區
住宅竊盜,1040116,台南市安平區
住宅竊盜,1040116,台南市中西區
住宅竊盜,1040116,台中市北屯區
住宅竊盜,1040116,新北市汐止區
住宅竊盜,1040116,台中市豐原區
住宅竊盜,1040116,嘉義市西區
住宅竊盜,1040116,新北市泰山區
住宅竊盜,1040116,雲林縣水林鄉
住宅竊盜,1040116,南投縣南投市
住宅竊盜,1040116,新北市中和區
住宅竊盜,1040117,台北市中正區
住宅竊盜,1040117,南投縣竹山鎮
住宅竊盜,1040117,台北市文山區
住宅竊盜,1040117,高雄市甲仙區
住宅竊盜,1040117,台北市中正區
住宅竊盜,1040117,高雄市楠梓區
住宅竊盜,1040117,新北市新莊區
住宅竊盜,1040117,台北市信義區
住宅竊盜,1040117,台中市大里區
住宅竊盜,1040118,雲林縣斗六市
住宅竊盜,1040118,新北市三重區
住宅竊盜,1040118,新北市永和區
住宅竊盜,1040118,苗栗縣竹南鎮
住宅竊盜,1040118,台北市萬華區
住宅竊盜,1040118,台北市信義區
住宅竊盜,1040118,台北市大安區
住宅竊盜,1040119,桃園市蘆竹區
住宅竊盜,1040119,新北市淡水區
住宅竊盜,1040119,彰化縣員林鎮
住宅竊盜,1040119,台南市永康區
住宅竊盜,1040119,新北市新莊區
住宅竊盜,1040119,新北市新莊區
住宅竊盜,1040119,嘉義市東區
住宅竊盜,1040119,台北市大同區
住宅竊盜,1040119,新北市新店區
住宅竊盜,1040119,台中市潭子區
住宅竊盜,1040119,雲林縣四湖鄉
住宅竊盜,1040119,桃園市大溪區
住宅竊盜,1040120,台中市豐原區
住宅竊盜,1040120,新北市板橋區
住宅竊盜,1040120,台中市中區
住宅竊盜,1040120,新北市三重區
住宅竊盜,1040120,新北市新店區
住宅竊盜,1040120,新北市汐止區
住宅竊盜,1040120,新北市汐止區
住宅竊盜,1040120,嘉義縣梅山鄉
住宅竊盜,1040120,台北市南港區
住宅竊盜,1040120,台中市龍井區
住宅竊盜,1040120,台南市永康區
住宅竊盜,1040120,新北市新莊區
住宅竊盜,1040120,桃園市龜山區
住宅竊盜,1040120,屏東縣屏東市
住宅竊盜,1040120,新北市汐止區
住宅竊盜,1040120,台中市南屯區
住宅竊盜,1040120,台中市南屯區
住宅竊盜,1040120,新北市汐止區
住宅竊盜,1040121,雲林縣水林鄉
住宅竊盜,1040121,新北市永和區
住宅竊盜,1040121,新竹縣竹東鎮
住宅竊盜,1040121,台南市東區
住宅竊盜,1040121,雲林縣西螺鎮
住宅竊盜,1040121,新北市中和區
住宅竊盜,1040121,新竹市北區
住宅竊盜,1040121,台北市中山區
住宅竊盜,1040121,台北市萬華區
住宅竊盜,1040121,桃園市觀音區
住宅竊盜,1040121,台北市士林區
住宅竊盜,1040121,台北市中山區
住宅竊盜,1040122,宜蘭縣礁溪鄉
住宅竊盜,1040122,新北市中和區
住宅竊盜,1040122,苗栗縣大湖鄉
住宅竊盜,1040122,新北市新莊區
住宅竊盜,1040122,新北市新店區
住宅竊盜,1040122,台北市大安區
住宅竊盜,1040123,桃園市中壢區
住宅竊盜,1040123,新北市三重區
住宅竊盜,1040123,苗栗縣通霄鎮
住宅竊盜,1040123,台北市文山區
住宅竊盜,1040123,台南市麻豆區
住宅竊盜,1040123,南投縣南投市
住宅竊盜,1040123,台中市東區
住宅竊盜,1040123,屏東縣枋山鄉
住宅竊盜,1040123,新北市蘆洲區
住宅竊盜,1040123,台北市中山區
住宅竊盜,1040123,宜蘭縣三星鄉
住宅竊盜,1040123,台南市將軍區
住宅竊盜,1040123,新北市新店區
住宅竊盜,1040124,高雄市旗山區
住宅竊盜,1040124,台南市永康區
住宅竊盜,1040124,台南市官田區
住宅竊盜,1040124,新北市烏來區
住宅竊盜,1040124,新北市新店區
住宅竊盜,1040124,新北市中和區
住宅竊盜,1040124,高雄市鳥松區
住宅竊盜,1040124,苗栗縣苗栗市
住宅竊盜,1040124,台南市柳營區
住宅竊盜,1040124,台北市萬華區
住宅竊盜,1040124,新北市中和區
住宅竊盜,1040124,花蓮縣花蓮市
住宅竊盜,1040124,花蓮縣鳳林鎮
住宅竊盜,1040125,彰化縣員林鎮
住宅竊盜,1040125,台中市豐原區
住宅竊盜,1040125,新北市新店區
住宅竊盜,1040125,桃園市蘆竹區
住宅竊盜,1040125,嘉義縣竹崎鄉
住宅竊盜,1040125,桃園市八德區
住宅竊盜,1040125,新北市中和區
住宅竊盜,1040125,台南市中西區
住宅竊盜,1040125,台南市永康區
住宅竊盜,1040125,苗栗縣三灣鄉
住宅竊盜,1040125,桃園市龜山區
住宅竊盜,1040125,新竹市北區
住宅竊盜,1040125,台南市中西區
住宅竊盜,1040125,屏東縣屏東市
住宅竊盜,1040126,新北市新莊區
住宅竊盜,1040126,金門縣金城鎮
住宅竊盜,1040126,桃園市大園區
住宅竊盜,1040126,台中市后里區
住宅竊盜,1040126,新北市新店區
住宅竊盜,1040126,新北市新莊區
住宅竊盜,1040126,新北市板橋區
住宅竊盜,1040126,新竹市北區
